12:00:00 | INFO  | Frontend running normally
12:00:00 | INFO  | Frontend running normally
12:00:00 | INFO  | Frontend running normally
12:00:00 | INFO  | Frontend running normally
12:00:00 | INFO  | Frontend running normally
12:00:00 | INFO  | Frontend running normally
12:00:00 | INFO  | Frontend running normally
12:00:00 | WARN  | Frontend Warning: CPU usage slightly elevated
12:00:00 | INFO  | Frontend running normally
12:01:00 | ERROR | Frontend Error: Metric anomaly detected (value=500.00)
12:01:00 | INFO  | Frontend running normally
12:01:00 | WARN  | Frontend Warning: CPU usage slightly elevated
12:01:00 | INFO  | Frontend running normally
12:01:00 | INFO  | Frontend running normally
12:02:00 | INFO  | Frontend running normally
12:02:00 | INFO  | Frontend running normally
12:02:00 | ERROR | Frontend Error: Metric anomaly detected (value=500.00)
12:02:00 | WARN  | Frontend Warning: CPU usage slightly elevated
12:02:00 | INFO  | Frontend running normally
12:02:00 | INFO  | Frontend running normally
12:03:00 | INFO  | Frontend running normally
12:03:00 | INFO  | Frontend running normally
12:03:00 | INFO  | Frontend running normally
12:03:00 | INFO  | Frontend running normally
12:03:00 | INFO  | Frontend running normally
12:04:00 | INFO  | Frontend running normally
12:04:00 | INFO  | Frontend running normally
12:04:00 | WARN  | Frontend Warning: CPU usage slightly elevated
12:04:00 | INFO  | Frontend running normally
12:04:00 | INFO  | Frontend running normally
12:04:00 | INFO  | Frontend running normally
12:04:00 | INFO  | Frontend running normally
12:04:00 | INFO  | Frontend running normally
12:04:00 | INFO  | Frontend running normally
12:04:00 | WARN  | Frontend Warning: CPU usage slightly elevated
12:05:00 | INFO  | Frontend running normally
12:05:00 | INFO  | Frontend running normally
12:05:00 | INFO  | Frontend running normally
12:05:00 | INFO  | Frontend running normally
12:05:00 | ERROR | Frontend Error: Metric anomaly detected (value=500.00)
12:05:00 | INFO  | Frontend running normally
12:05:00 | INFO  | Frontend running normally
12:06:00 | INFO  | Frontend running normally
12:06:00 | INFO  | Frontend running normally
12:06:00 | WARN  | Frontend Warning: CPU usage slightly elevated
12:06:00 | WARN  | Frontend Warning: CPU usage slightly elevated
